supernova name,redshift,magnitude,stretch,color
'SDSS14421',0.17386,20.452267,-0.745633,-0.097808
'SDSS14437',0.14265,19.708683,0.594179,-0.09483
'SDSS14451',0.17789,20.15261,0.289199,-0.106929
'SDSS14481',0.25351,21.384596,-1.039765,-0.171954
'SDSS14735',0.30001,21.706687,-0.087397,0.032811
'SDSS14816',0.10589,19.370566,-0.67268,0.021313
'SDSS14846',0.22328,20.941812,0.633837,-0.044898
'SDSS14871',0.11845,19.436663,1.29099,-0.046502
'SDSS14979',0.17653,20.178782,0.224801,-0.117703
'SDSS14984',0.1828,20.867304,1.015744,0.072977
'SDSS15057',0.29762,21.845816,-2.48499,-0.058957
'SDSS15129',0.19699,20.684448,-0.774077,-0.070545
'SDSS15132',0.15295,19.761456,1.067798,-0.133296
'SDSS15161',0.2485,21.203185,-0.284969,-0.053995
'SDSS15171',0.13818,19.659001,0.680037,-0.078535
'SDSS15201',0.20704,21.801005,-1.245704,0.094327
'SDSS15203',0.21468,20.730053,1.114217,-0.024767
'SDSS15213',0.30632,21.733825,-0.084184,-0.086541
'SDSS15219',0.24695,21.056951,-0.146222,-0.154043
'SDSS15222',0.19801,20.948974,-1.339491,0.011075
'SDSS15229',0.22256,21.024295,0.685016,-0.032572
'SDSS15234',0.13508,20.461573,0.90023,0.12776
'SDSS15259',0.21054,20.791873,0.419532,-0.014647
'SDSS15287',0.27258,21.161073,1.423274,-0.072993
'SDSS15301',0.2466,20.665733,-0.338697,-0.138562
'SDSS15354',0.22068,21.520886,-2.264612,0.085193
'SDSS15356',0.27447,21.436954,-0.707454,-0.049484
'SDSS15365',0.17656,20.504592,0.829711,-0.03691
'SDSS15383',0.31088,21.860479,0.212271,-0.033941
'SDSS15421',0.18435,20.641715,0.174788,-0.043682
'SDSS15425',0.15935,19.907795,0.971182,-0.00611
'SDSS15433',0.21976,20.943822,-0.088272,-0.067736
'SDSS15440',0.25205,21.586693,-0.623735,0.065746
'SDSS15443',0.18122,20.192003,1.560538,-0.041282
'SDSS15453',0.17373,20.54928,1.150037,-0.024265
'SDSS15456',0.38047,21.980928,-1.212778,-0.090551
'SDSS15461',0.17865,20.359333,-0.162051,-0.100206
'SDSS15466',0.24568,21.326555,-1.061965,0.027935
'SDSS15467',0.2091,20.592027,0.80126,-0.067945
'SDSS15504',0.24947,21.852696,2.33717,0.205582
'SDSS15508',0.13392,19.607858,0.882983,-0.059231
'SDSS15583',0.17706,20.736464,-0.296321,0.025339
'SDSS15584',0.28111,21.439311,0.314981,-0.044998
'SDSS15648',0.17383,21.032398,-1.45375,0.113585
'SDSS15674',0.19654,21.017687,-0.343601,0.004228
'SDSS15704',0.36397,22.059517,-0.04859,-0.17136
'SDSS15756',0.37835,22.421908,-0.960604,-0.250149
'SDSS15776',0.31646,21.846724,-2.281762,-0.146321
'SDSS1580',0.18322,20.272733,0.879572,-0.038487
'SDSS15868',0.24102,21.005963,0.328735,-0.140847
'SDSS15872',0.20203,20.556408,0.781434,-0.064131
'SDSS15897',0.16869,20.889914,-2.457456,0.015791
'SDSS15901',0.19794,20.774797,0.0302,-0.040623
'SDSS16021',0.12276,19.61767,-0.34698,-0.038204
'SDSS16032',0.20318,20.758955,-0.819482,-0.10857
'SDSS16069',0.12739,20.104432,0.878535,0.15663
'SDSS16072',0.27549,21.533317,0.275684,-0.016258
'SDSS16073',0.14468,20.257201,0.723179,-0.006892
'SDSS16093',0.33436,21.862025,1.029207,-0.063637
'SDSS16099',0.1958,20.704275,2.030525,0.023292
'SDSS16100',0.19392,21.065011,-0.393434,0.05151
'SDSS16106',0.24973,21.02095,-0.628986,-0.150136
'SDSS16116',0.1486,19.970319,0.508881,-0.097611
'SDSS16165',0.15596,20.146078,0.344199,-0.032
'SDSS16185',0.09582,19.773444,-2.309599,0.069933
'SDSS16206',0.15065,20.403921,-2.56543,-0.008622
'SDSS16211',0.30933,22.130926,-1.964016,0.004445
'SDSS16213',0.24857,21.127943,0.279927,-0.096848
'SDSS16232',0.36554,22.13649,-0.145799,-0.111398
'SDSS16276',0.19176,20.740998,-0.018646,-0.026411
'SDSS16281',0.18255,20.47384,-0.873266,-0.07317
'SDSS16350',0.23472,21.130073,-1.345527,-0.090072
'SDSS16352',0.24647,20.845774,0.273411,-0.141815
'SDSS16402',0.28845,20.859757,-0.872064,-0.186671
'SDSS16473',0.2096,20.739132,-1.073325,-0.148416
'SDSS16618',0.19198,20.466522,-0.792727,-0.09709
'SDSS16619',0.11402,19.173326,-0.191925,-0.08585
'SDSS16641',0.11389,19.719269,1.053347,0.039734
'SDSS16737',0.1988,20.519882,-0.44361,-0.075727
'SDSS16793',0.22058,20.764062,0.524838,-0.051257
'SDSS17168',0.18257,20.59859,0.503374,-0.039676
'SDSS17171',0.15895,19.93795,-0.384727,-0.141622
'SDSS17186',0.07849,19.240437,0.642723,0.111359
'SDSS17208',0.13864,19.983006,0.836869,-0.068099
'SDSS17215',0.18079,20.579248,0.282892,0.015433
'SDSS17218',0.17757,20.428083,-0.760469,-0.084884
'SDSS17220',0.17066,20.55707,1.820322,0.150278
'SDSS17223',0.23381,20.863174,1.013494,-0.070271
'SDSS17240',0.07153,18.172291,-1.466919,-0.121433
'SDSS17253',0.15463,19.970376,-0.196987,-0.122244
'SDSS17258',0.0901,18.818896,0.316969,0.027279
'SDSS17274',0.17658,20.397033,1.957731,-0.136685
'SDSS17280',0.13045,19.653248,-0.839375,-0.198044
'SDSS17332',0.18204,20.680621,-0.237165,0.036489
'SDSS17340',0.25617,21.318433,-0.075475,-0.006613
'SDSS17366',0.13811,19.554935,0.567102,-0.095614
'SDSS17389',0.1707,20.780026,1.13039,0.058277
'SDSS17435',0.21674,20.709521,0.90173,-0.108869
'SDSS17464',0.24555,21.091966,0.08144,0.052687
'SDSS17497',0.14382,20.04551,0.911414,0.037728
'SDSS17552',0.24862,21.302566,1.242872,0.000278
'SDSS17605',0.14533,20.060753,0.715631,0.014894
'SDSS17629',0.13588,20.059419,-0.347675,0.060305
'SDSS17745',0.05874,17.862299,1.071379,-0.050084
'SDSS17784',0.03652,17.320514,-0.728272,0.060325
'SDSS17791',0.27749,21.739047,0.247627,-0.186998
'SDSS17801',0.20515,21.18231,-0.677573,-0.017143
'SDSS17809',0.28051,21.478247,1.5228,0.030003
'SDSS17811',0.19867,20.49004,1.031546,-0.097533
'SDSS17825',0.15999,20.410888,-0.149097,0.006164
'SDSS17875',0.21075,21.022641,1.120316,-0.030671
'SDSS17880',0.07195,18.984126,-0.923587,0.181137
'SDSS17884',0.23782,20.859375,0.664166,-0.124117
'SDSS1794',0.14139,20.083504,1.153668,0.030808
'SDSS18030',0.15506,20.385861,-0.605778,-0.052008
'SDSS18091',0.37013,21.893176,-0.647918,-0.195436
'SDSS18241',0.09391,19.176568,-1.123374,-0.085483
'SDSS18298',0.11863,20.541778,-2.724252,0.255113
'SDSS18323',0.15363,20.240999,0.15976,-0.043411
'SDSS18325',0.25356,21.278008,0.392895,-0.055306
'SDSS18375',0.10725,19.337775,0.163568,0.066199
'SDSS18415',0.12961,19.866162,-1.62361,-0.086675
'SDSS18463',0.26665,21.322503,0.941316,-0.043687
'SDSS18466',0.21226,21.093299,-0.17616,0.03142
'SDSS18485',0.27822,21.278193,1.31567,-0.088149
'SDSS18486',0.2454,20.753569,1.112899,-0.108783
'SDSS18602',0.13362,20.091364,0.915935,0.062187
'SDSS18612',0.11368,19.674591,-0.734703,0.060165
'SDSS18617',0.32038,22.0083,-0.256202,-0.021879
'SDSS18650',0.11271,19.405852,0.885448,-0.043361
'SDSS18697',0.10602,19.224685,0.749838,-0.002746
'SDSS18721',0.39135,22.096499,0.144953,-0.134777
'SDSS18740',0.15575,20.174029,-0.034977,0.024848
'SDSS18749',0.18667,21.077159,-1.441241,0.065591
'SDSS18768',0.19671,20.998833,-0.446422,-0.030251
'SDSS18787',0.19191,21.201846,0.145971,0.035637
'SDSS18804',0.19084,20.425403,0.947789,-0.045704
'SDSS18807',0.17625,20.591414,0.470167,-0.012245
'SDSS18809',0.12837,19.747603,-1.172856,-0.07694
